id,address,city,housing_type,price,price_per_m2,price_diff%,area,ground_area,rooms,year_built,energy_label,monthly_cost,date_added,date_removed,days_on_sale,status,retrieved,link
1846481,"Sallingvej 68, 1. th.",2720 Vanløse,Ejerlejlighed,1995000,31171,-0.15,64,0,2,1941-01-01,D,2406,2021-11-19,,344,online,2022-10-26 20:28:26,/bolig/1846481/sallingvej_68_1_th_2720_vanloese
1852081,"Bellahøjvej 184, st..",2720 Vanløse,Villalejlighed,3798000,48075,-0.05,79,0,3,1932-01-01,D,3344,2021-12-14,2022-10-29,317,removed,2022-10-26 20:28:26,/bolig/1852081/bellahoejvej_184_st_2720_vanloese
1852471,Tudskærvej 24,2720 Vanløse,Villa,4598000,38638,-0.05,119,644,3,1946-01-01,E,5599,2021-12-16,,317,online,2022-10-26 20:28:26,/bolig/1852471/tudskaervej_24_2720_vanloese
1852764,Skjulhøj Allé 22D,2720 Vanløse,Ejerlejlighed,3995000,88777,-0.11,45,0,3,1899-01-01,D,3477,2021-12-17,,316,online,2022-10-26 20:28:26,/bolig/1852764/skjulhoej_alle_22d_2720_vanloese
1864611,"Ålekistevej 172, 3. 33.",2720 Vanløse,Ejerlejlighed,2500000,28735,-0.09,87,1822,2,1988-01-01,C,3398,2022-02-12,,259,online,2022-10-26 20:28:26,/bolig/1864611/aalekistevej_172_3_33_2720_vanloese
1872458,Ålekistevej 177,2720 Vanløse,Villa,8200000,38679,0.0,212,578,6,1927-01-01,D,6658,2022-03-11,2022-10-29,230,removed,2022-10-26 20:28:26,/bolig/1872458/aalekistevej_177_2720_vanloese
1873730,"Herlufsholmvej 53, 1.",2720 Vanløse,Villalejlighed,2995000,24958,-0.29,120,0,4,1937-01-01,E,2591,2022-03-15,,228,online,2022-10-26 20:28:26,/bolig/1873730/herlufsholmvej_53_1_2720_vanloese
1873789,"Kastanie Allé 26B, ST. TV",2720 Vanløse,Ejerlejlighed,2995000,41027,-0.09,73,0,3,1938-01-01,D,3921,2022-03-15,,228,online,2022-10-26 20:28:26,/bolig/1873789/kastanie_alle_26b_st_tv_2720_vanloese
1875090,Søndervigvej 84,2720 Vanløse,Villa,3300000,27272,-0.27,121,629,3,1929-01-01,-,5275,2022-03-18,,225,online,2022-10-26 20:28:26,/bolig/1875090/soendervigvej_84_2720_vanloese
1876563,"Tybjergvej 101B, 1.",2720 Vanløse,Villalejlighed,3595000,42797,-0.03,84,0,4,1980-01-01,C,3479,2022-03-21,,222,online,2022-10-26 20:28:26,/bolig/1876563/tybjergvej_101b_1_2720_vanloese
1881122,"Kongsdalvej 50, 1.",2720 Vanløse,Villalejlighed,4550000,43750,-0.14,104,547,4,1924-01-01,D,2765,2022-04-04,,208,online,2022-10-26 20:28:26,/bolig/1881122/kongsdalvej_50_1_2720_vanloese
1882538,Slotsherrensvej 135,2720 Vanløse,Villa,5050000,40725,-0.08,124,347,10,,C,4866,2022-04-07,,205,online,2022-10-26 20:28:26,/bolig/1882538/slotsherrensvej_135_2720_vanloese
1884370,"Arnestedet 7, 2. tv",2720 Vanløse,Ejerlejlighed,1995000,38365,-0.09,52,0,2,1935-01-01,F,2564,2022-04-12,,200,online,2022-10-26 20:28:26,/bolig/1884370/arnestedet_7_2_tv_2720_vanloese
1884043,Høgholtvej 3,2720 Vanløse,Villa,7600000,47500,-0.16,160,666,6,1936-01-01,D,6460,2022-04-12,,200,online,2022-10-26 20:28:26,/bolig/1884043/hoegholtvej_3_2720_vanloese
1886195,"Herlufsholmvej 27B, 1.",2720 Vanløse,Villalejlighed,4998000,43460,-0.05,115,0,5,1925-01-01,C,3131,2022-04-15,,197,online,2022-10-26 20:28:26,/bolig/1886195/herlufsholmvej_27b_1_2720_vanloese
1886299,Limfjordsvej 70,2720 Vanløse,Villa,6998000,72895,-0.1,96,785,4,1933-01-01,E,6259,2022-04-16,,196,online,2022-10-26 20:28:26,/bolig/1886299/limfjordsvej_70_2720_vanloese
1886770,"Byhøjen 1, st. tv.",2720 Vanløse,Ejerlejlighed,2495000,28678,-0.11,87,0,2,1940-01-01,E,6218,2022-04-20,,192,online,2022-10-26 20:28:26,/bolig/1886770/byhoejen_1_st_tv_2720_vanloese
1890128,"A.F. Beyers Vej 23, 2. TH",2720 Vanløse,Ejerlejlighed,4500000,45454,-0.14,99,0,4,1931-01-01,C,4357,2022-04-30,,182,online,2022-10-26 20:28:26,/bolig/1890128/af_beyers_vej_23_2_th_2720_vanloese
1890464,"Slotsherrensvej 76, st..",2720 Vanløse,Villalejlighed,3298000,47114,-0.09,70,0,3,1919-01-01,C,2184,2022-05-02,,180,online,2022-10-26 20:28:26,/bolig/1890464/slotsherrensvej_76_st_2720_vanloese
1891850,Toftøjevej 29,2720 Vanløse,Villa,8500000,75892,-0.15,112,831,4,1957-01-01,D,7152,2022-05-05,,177,online,2022-10-26 20:28:26,/bolig/1891850/toftoejevej_29_2720_vanloese
1893271,Guldagervej 14,2720 Vanløse,Villa,6995000,82294,-0.1,85,526,3,1934-01-01,D,6555,2022-05-10,,172,online,2022-10-26 20:28:26,/bolig/1893271/guldagervej_14_2720_vanloese
1894851,"Åbakkevej 47, 1. th.",2720 Vanløse,Ejerlejlighed,2275000,39912,0.0,57,0,2,1941-01-01,D,2948,2022-05-16,,166,online,2022-10-26 20:28:26,/bolig/1894851/aabakkevej_47_1_th_2720_vanloese
1894591,"Godthåbsvej 191, 1. tv.",2720 Vanløse,Ejerlejlighed,2995000,39933,-0.06,75,0,3,1904-01-01,D,3268,2022-05-16,,166,online,2022-10-26 20:28:26,/bolig/1894591/godthaabsvej_191_1_tv_2720_vanloese
1895240,Billesborgvej 9,2720 Vanløse,Villa,7195000,61495,-0.04,117,598,6,1951-01-01,C,5789,2022-05-17,,165,online,2022-10-26 20:28:26,/bolig/1895240/billesborgvej_9_2720_vanloese
